post_date,platform_name,platform_type,keyword_text,keyword_group,department_code,department_name_en,sentiment_label,source_post_id,post_url,post_text,mention_count,like_count,comment_count,share_count,view_count
2024-12-20,Facebook,Social Network,วิศวะเกษตรกำแพงแสน,brand,CPE,Computer Engineering,Positive,fb-2024-001,https://example.edu/social/fb-2024-001,รีวิวบรรยากาศการเรียนวิศวะเกษตรกำแพงแสนและชีวิตในคณะ,1,215,36,42,3200
2024-12-28,TikTok,Short Video,KU KPS Engineering,brand,CPE,Computer Engineering,Positive,tt-2024-002,https://example.edu/social/tt-2024-002,คลิปแนะนำห้องปฏิบัติการและโปรเจคนักศึกษาวิศวกรรมคอมพิวเตอร์,1,842,71,93,18400
2025-01-05,YouTube,Video,TCAS วิศวะเกษตร,admissions,ME,Mechanical Engineering,Neutral,yt-2025-001,https://example.edu/social/yt-2025-001,แนะนำรอบ Portfolio และเอกสารที่ต้องเตรียมสำหรับสมัครวิศวกรรม,1,320,44,28,9200
2025-01-12,Pantip,Forum,รีวิววิศวะเกษตร,review,EE,Electrical Engineering,Neutral,pt-2025-001,https://example.edu/social/pt-2025-001,กระทู้ถามประสบการณ์เรียนวิศวกรรมไฟฟ้าที่กำแพงแสน,1,48,27,3,2100
2025-02-18,Facebook,Social Network,Computer Engineering KPS,department,CPE,Computer Engineering,Positive,fb-2025-002,https://example.edu/social/fb-2025-002,รุ่นพี่แชร์เส้นทางฝึกงานสาย software และ data,1,394,58,61,6100
2025-03-01,X,Microblogging,เข้าวิศวะเกษตร,admissions,CE,Civil Engineering,Neutral,x-2025-001,https://example.edu/social/x-2025-001,ถามกำหนดการ TCAS รอบ quota ของวิศวะเกษตรกำแพงแสน,1,77,19,16,1800
2025-03-10,TikTok,Short Video,วิศวกรรมศาสตร์ กำแพงแสน,brand,IE,Industrial Engineering,Positive,tt-2025-003,https://example.edu/social/tt-2025-003,พาชมโรงฝึกและกิจกรรมของนิสิตวิศวกรรมอุตสาหการ,1,631,54,80,14200
2025-04-25,News,News,วิศวะ KU,brand,CPE,Computer Engineering,Positive,news-2025-001,https://example.edu/social/news-2025-001,ข่าวโครงการนักศึกษาวิศวกรรมได้รับรางวัลนวัตกรรม,1,96,12,22,4200
2025-05-03,YouTube,Video,สอบเข้าวิศวะเกษตร,admissions,CPE,Computer Engineering,Positive,yt-2025-004,https://example.edu/social/yt-2025-004,แนะนำการเลือกอันดับ TCAS Admission สำหรับสายวิศวกรรม,1,521,73,45,11800
2025-05-09,Facebook,Social Network,Electrical Engineering KPS,department,EE,Electrical Engineering,Neutral,fb-2025-005,https://example.edu/social/fb-2025-005,โพสต์ถามตอบเรื่องหลักสูตรวิศวกรรมไฟฟ้าและงานหลังเรียนจบ,1,188,33,24,3900
2025-06-02,Pantip,Forum,Mechanical Engineering KPS,department,ME,Mechanical Engineering,Negative,pt-2025-006,https://example.edu/social/pt-2025-006,ความกังวลเรื่องการเดินทางและค่าใช้จ่ายสำหรับการเรียนที่กำแพงแสน,1,39,31,2,1700
2025-06-12,Website,Web,Civil Engineering KPS,department,CE,Civil Engineering,Positive,web-2025-002,https://example.edu/social/web-2025-002,บทความแนะนำผลงานโครงงานวิศวกรรมโยธาและบริการวิชาการ,1,64,8,11,2500
2025-12-18,Facebook,Social Network,วิศวะเกษตรกำแพงแสน,brand,CPE,Computer Engineering,Positive,fb-2025-010,https://example.edu/social/fb-2025-010,เปิดบ้านคณะวิศวกรรมศาสตร์พร้อมกิจกรรมแนะแนว TCAS,1,344,62,75,7600
2025-12-26,TikTok,Short Video,KU KPS Engineering,brand,CPE,Computer Engineering,Positive,tt-2025-011,https://example.edu/social/tt-2025-011,บรรยากาศ open house และแล็บของนิสิตวิศวกรรม,1,1040,96,118,23600
2026-01-08,YouTube,Video,TCAS วิศวะเกษตร,admissions,ME,Mechanical Engineering,Neutral,yt-2026-001,https://example.edu/social/yt-2026-001,อธิบายรอบ Portfolio และ Quota สำหรับผู้สมัครปีการศึกษา 2026,1,402,51,36,10800
2026-01-17,Pantip,Forum,รีวิววิศวะเกษตร,review,EE,Electrical Engineering,Positive,pt-2026-001,https://example.edu/social/pt-2026-001,รุ่นพี่ตอบคำถามเรื่องหอพัก การเดินทาง และวิชาเรียนพื้นฐาน,1,82,39,7,2800
2026-02-20,Facebook,Social Network,Computer Engineering KPS,department,CPE,Computer Engineering,Positive,fb-2026-002,https://example.edu/social/fb-2026-002,ผลงานนิสิตสาย AI และ web application ในรายวิชาโครงงาน,1,486,66,79,8900
2026-03-02,X,Microblogging,เข้าวิศวะเกษตร,admissions,CE,Civil Engineering,Neutral,x-2026-001,https://example.edu/social/x-2026-001,รวมคำถามเกี่ยวกับกำหนดการสมัคร TCAS รอบ quota,1,112,25,21,2300
2026-03-13,TikTok,Short Video,วิศวกรรมศาสตร์ กำแพงแสน,brand,IE,Industrial Engineering,Positive,tt-2026-003,https://example.edu/social/tt-2026-003,คลิปสั้นพาชมกิจกรรม workshop และเครื่องมือในโรงฝึก,1,770,63,88,16900
2026-04-22,News,News,วิศวะ KU,brand,CPE,Computer Engineering,Positive,news-2026-001,https://example.edu/social/news-2026-001,ข่าวความร่วมมือด้านนวัตกรรมระหว่างคณะกับภาคอุตสาหกรรม,1,135,16,29,5100
2026-05-04,YouTube,Video,สอบเข้าวิศวะเกษตร,admissions,CPE,Computer Engineering,Positive,yt-2026-004,https://example.edu/social/yt-2026-004,แนะแนวการเลือกสาขาและการเตรียมตัวก่อนยืนยันสิทธิ์,1,688,84,57,14100
2026-05-11,Facebook,Social Network,Electrical Engineering KPS,department,EE,Electrical Engineering,Neutral,fb-2026-005,https://example.edu/social/fb-2026-005,ถามตอบหลักสูตรไฟฟ้า งานปฏิบัติการ และโอกาสฝึกงาน,1,231,41,33,4700
2026-06-03,Pantip,Forum,Mechanical Engineering KPS,department,ME,Mechanical Engineering,Negative,pt-2026-006,https://example.edu/social/pt-2026-006,ผู้สมัครสอบถามความกังวลเรื่องการเดินทางและค่าใช้จ่ายรายเดือน,1,44,34,3,1900
2026-06-14,Website,Web,Civil Engineering KPS,department,CE,Civil Engineering,Positive,web-2026-002,https://example.edu/social/web-2026-002,บทความแนะนำโครงงานโยธาและการเรียนรู้จากพื้นที่จริง,1,81,11,15,3100
