insight_id	business_question_id	priority	category	title	summary	mart_object	metric_label	metric_value	decision	recommended_action	confidence	quality_gate
INS-001	BQ-001	1	Demand	วิศวกรรมโยธา-โครงสร้างพื้นฐานมี demand สูงแต่ conversion ต่ำ	ปี 2569 มีผู้สมัคร 825 คน แต่อัตรายืนยันสิทธิ์ 7.64% ต่ำกว่าสาขา demand สูงอื่น	mart_major_opportunity	applicants / confirmed_rate	825 applicants / 7.64% confirmed	ต้องตรวจ offer competitiveness และ communication flow ของสาขานี้	Review admission messaging, seat policy and follow-up timing	High	Missing major = 0
INS-002	BQ-002	2	Round Strategy	TCAS3 เป็นรอบที่สร้าง confirmed มากที่สุด	ปี 2569 TCAS3 มี confirmed 283 คน และ rate 17.47% สูงกว่าปี 2568	mart_round_efficiency	confirmed / confirmed_rate	283 confirmed / 17.47% confirmed	ควรใช้ TCAS3 เป็นรอบหลักสำหรับ demand capture และ tracking	Allocate communication effort before and during TCAS3 confirmation window	High	Round coverage = TCAS1-4
INS-003	BQ-003	3	Conversion	สถานะไม่ผ่านการคัดเลือกเป็น share สูงสุด	ปี 2569 มี choices ไม่ผ่านการคัดเลือก 2,552 รายการ คิดเป็น 55.73%	mart_status_friction	choices / share	2,552 choices / 55.73%	ต้องตรวจ capacity, eligibility criteria และ expectation setting	Publish clearer eligibility guidance and monitor high-demand majors	Medium	Source rows reconciled
INS-004	BQ-004	4	Demand	ผู้สมัครรวมลดลงแต่ confirmed เพิ่มขึ้น	ปี 2569 unique applicants ลดลง 154 คน แต่ confirmed เพิ่มขึ้น 17 คน	mart_admissions_year_change	applicant_delta / confirmed_delta	-154 applicants / +17 confirmed	ควรรักษากระบวนการที่ช่วย conversion แต่หาสาเหตุ demand ลดลง	Separate demand-generation actions from confirmation-conversion actions	High	Year coverage = 2568, 2569
INS-005	BQ-005	5	Data Trust	ข้อมูล Dashboard พร้อมใช้ตัดสินใจ	quality gate ปัจจุบันผ่านทุกข้อ: missing score 0, missing major 0, PII exported 0 columns	vw_dw_refresh_health	validation_status	All checks pass	อนุญาตใช้ dashboard เป็น executive review artifact ได้	Proceed with report review while keeping source refresh evidence	High	All quality checks pass
INS-006	BQ-007	6	Demand	วิศวกรรมเครื่องกล-เกษตรเป็น demand drop risk	ปี 2569 applicants ลดลง 197 คนจากปี 2568 ในสาขาวิศวกรรมเครื่องกล-เกษตร	mart_major_year_change	applicant_delta	-197 applicants	ต้องหาเหตุผล demand drop และปรับ positioning ก่อนรอบรับปีหน้า	Run program messaging review and compare competitor positioning	Medium	Major mapping complete
INS-007	BQ-008	7	Demand	วิศวกรรมอุตสาหการ-โลจิสติกส์โตสวนภาพรวม	ปี 2569 applicants เพิ่มขึ้น 157 คน แม้ภาพรวม unique applicants ลดลง	mart_major_year_change	applicant_delta	+157 applicants	ใช้ signal นี้เป็นจุดขายและขยาย communication ในปีถัดไป	Promote logistics outcome stories and retain high-performing funnel messages	High	Year coverage = 2568, 2569
INS-008	BQ-009	8	Program Portfolio	วิศวกรรมนวัตกรรมเพื่อการเกษตรและอุตสาหกรรม conversion สูงแต่ demand ต่ำ	ปี 2569 มี applicants 108 คน แต่ confirmed rate 33.33% สูงที่สุดในกลุ่มสาขา	mart_major_opportunity	applicants / confirmed_rate	108 applicants / 33.33% confirmed	สาขานี้ควรเพิ่ม awareness เพราะผู้สมัครที่สนใจมีแนวโน้มยืนยันสูง	Increase targeted awareness while preserving applicant-fit messaging	Medium	Missing score = 0
INS-009	BQ-010	9	Round Strategy	TCAS1 มี volume สูงแต่ conversion ต่ำ	ปี 2569 TCAS1 มี applicants 1,324 คน แต่ confirmed rate 12.31% ต่ำกว่า TCAS3	mart_round_efficiency	applicants / confirmed_rate	1,324 applicants / 12.31% confirmed	ควรปรับ follow-up และ expectation ในรอบ Portfolio	Strengthen post-shortlist communication and reduce uncertainty before confirmation	Medium	Round coverage = TCAS1-4
INS-010	BQ-012	10	Conversion	ผ่านการคัดเลือกในลำดับที่ดีกว่ายังเป็น friction ใหญ่	ปี 2569 status นี้มี 1,191 choices หรือ 26.01% ของทั้งหมด	mart_status_friction	choices / share	1,191 choices / 26.01%	ต้องสื่อสาร value proposition ของหลักสูตรเร็วขึ้นก่อนผู้สมัครย้ายลำดับ	Move program-fit messaging earlier in the admissions journey	Medium	Source rows reconciled
